NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
1019,ED-12.2,PITTAJAPLIHAROGAH,pittajaplīharōgaḥ,पित्तजप्लीहरोगः,plīharōga due to pitta ,"the disorder is characterized by sajvaraḥ [associated with fever], sapipāsā [thirst], sadāhaḥ [associated with burning sensation], mōhaḥ [semiconsciousness or stupefaction], pītagātraḥ [yellowishness] ",Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
1020,ED-12.3,KAPAJAPLIHAROGAH,kaphajaplīharōgaḥ,कफजप्लीहरोगः,plīharōga due to kapha ,"the disorder is characterized by mandavyathā [mild pain], sthūlaḥ [broad, hard], kaṭhinaḥ (udaraḥ) [tenseness], gauravam (udarasya) [heaviness of body], arōcakaḥ [tastelessness] ",Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
1021,ED-12.4,SANNIPATAJA-PLIHODARAH,sannipātaja-plīhōdaraḥ,सन्निपातज-प्लीहोदरः,plīhōdara due to three dōṣa , ,Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
1022,ED-12.5,RAKTAJAPLIHAROGAH/RAKTAJA-PLIHODARAH,raktajaplīharōgaḥ/raktaja-plīhōdaraḥ,रक्तजप्लीहरोगः/रक्तज-प्लीहोदरः,plīharōga due to rakta ,"the disorder is characterized by klamaḥ [exhaustion without exertion], bhramaḥ [giddiness or dizziness], vidāhaḥ [internal burning sensation], vaivarṇyam [discolouration], gātragauravam [heaviness of body parts], mōhaḥ [semiconsciousness or stupefaction], raktōdaratvam [reddening of the abdomen] ",Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
1023,ED-12.6,ASADHYA-PLIHODARAH,asādhya-plīhōdaraḥ,असाध्य-प्लीहोदरः,incurable plīhōdara , ,Note: Also Classifed under udakavahasrōtōvikāraḥ[EK]
1024,ED-13,SLIPADAH,ślīpadaḥ,श्लीपदः,filariasis/elephantiasis ,"the disorder is characterized by sajvaraḥ [associated with fever], vaṁkṣaṇajaḥ [having origin in groins] ",
1025,ED-13.1,VATAJASLIPADAH,vātajaślīpadaḥ,वातजश्लीपदः,ślīpada due to vāta ,"the disorder is characterized by kharaśōphaḥ [swelling rough on touch], kr̥ṣṇaśōphaḥ [black coloured swelling], paruṣaśōphaḥ [rough oedema], bahuśaḥ parisphuṭati [excessive cracks], rūkṣaḥ [rough swelling], tīvravēdanayutaḥ [severe pain], animittarujaḥ [pain appears without cause], bahuśa-jvaraḥ [frequent attacks of fever], paripōṭayutam [peeling of skin] ",
1026,ED-13.2,PITTAJASLIPADAH,pittajaślīpadaḥ,पित्तजश्लीपदः,ślīpada due to pitta ,"the disorder is characterized by pītāvabhāsaśōphaḥ/ pītasaṁkāśaśōphaḥ [yellowish coloured swelling], īṣata mr̥du śōphaḥ/ mr̥duśōphaḥ [soft swelling], jvaraḥ [fever], dāhaḥ [burning sensation] ",
1027,ED-13.3,KAPAJASLIPADAH,kaphajaślīpadaḥ,कफजश्लीपदः,ślīpada due to kapha ,"the disorder is characterized by śvētaśōphaḥ [whitish coloured swelling], snigdhāvabhāsaśōphaḥ/snigdhaḥ/snigdhavarṇaḥ [glossy swelling], mandavēdanā/ aruk [mild pain], bhārikama [heavy in nature], mahāgranthikam [huge swelling], kaṇṭakairupacitam [associated with thorn like projections], guruśōphaḥ [heavy swelling in the inguinal region and in the foot], māṁsāṁkuraiścitam [associated with muscular growths], pāṇḍuśōphaḥ [pale swelling in the inguinal region and in the foot], guruśōphaḥ [heavy swelling], sthiraśōphaḥ [hard swelling in the inguinal region and in the foot] ",
1028,ED-13.4,ASADHYA-SLIPADAH,asādhya-ślīpadaḥ,असाध्य-श्लीपदः,incurable ślīpada ,"the disorder is characterized by saṁvatsarātītam [chronicity of more than one year], ati mahat [excessively large], vatmīkavat śōphaḥ [swelling resembling anthill], suparisrutiḥ [exudative swelling], kaṇṭakairupacitam [associated with thorn like projections] ",
1029,ED-14,SITAPITTAM,śītapittam,शीतपित्तम्,urticaria ,"the disorder is characterized by varaṭīdaṣṭasaṁsthāna śōthaḥ [like that of sting of insect/wasp], kaṇḍūḥ [itching], tōdabahulaḥ [severe pricking type of pain], chardiḥ [vomiting], jvaraḥ [fever], vidāhaḥ [internal burning sensation], bahiḥ śōthaḥ [edematous lesions appear on the skin], vātādhikam [dominance of vātadōṣaḥ] ",
1030,ED-14.1,SITAPITTA-PURVARUPAM,śītapitta-pūrvarūpam,शीतपित्त-पूर्वरूपम्,prodromes of shItapitta ,"the disorder is characterized by pipāsā [thirst], aruciḥ [tastelessness], hr̥llāsaḥ [nausea], dēhasādaḥ [tiredness of the body], aṅgagauravam [heaviness in the body], raktalōcanatā [redness in the eyes] ",
1031,ED-15,UDARDAH,udardaḥ,उदर्दः,urticaria ,"the disorder is characterized by varaṭīdaṣṭasaṁsthāna śōthaḥ [like that of sting of insect/wasp], kaṇḍūḥ [itching], tōdabahulaḥ [severe pricking type of pain], chardiḥ [vomiting], jvaraḥ [fever], vidāhaḥ [internal burning sensation], bahiḥ śōthaḥ [edematous lesions appear on the skin], kaphādhikaḥ [dominance of kaphadōṣaḥ], utsaṁgaḥ [elevated lesions], rāgaḥ [redness/congestion], kaṇḍūḥ [itching], maṇḍalam [circular patches], vidāhaḥ [internal burning sensation] ",
1033,ED-16,BAGANDARAH,bhagandaraḥ,भगन्दरः,fistula-in-ano , ,
1034,ED-16.1,BAGANDARA-PURVARUPAM,bhagandara-pūrvarūpam,भगन्दर-पूर्वरूपम्,prodromes of bhagandara ,"the disorder is characterized by kaṭīkapālavēdanā [pain at iliac region/iliac bones], kaṇḍūḥ [itching], dāhaḥ [burning sensation], gudaśōphaḥ [anal oedema], bhagandarapiḍikā [nodule leading to fistula-in-ano], dāhaḥ [burning sensation], rujā [pain] ",
1035,ED-16.2,SATAPONAKABAGANDARAH/VATAJA-BAGANDARAH,śatapōnakabhagandaraḥ/vātaja-bhagandaraḥ,शतपोनकभगन्दरः/वातज-भगन्दरः,bhagandara having multiple openings/bhagandara due to vāta ,"the disorder is characterized by aruṇavarṇapiḍakā [appearance of slightly red colored eruptions], tōdaḥ [pricking pain], śatapōnakavadaṇumukhaiśchidrairāpūryatē [full of multiple minute pores like that of sieve], apratikriyamāṇā ca pākamupaiti [if it remains untreated suppuration results], mūtrāśayābhyāsagatatvācca vraṇaḥ praklinnaḥ [due to close proximity to the urinary bladder the wound is always moist in nature], chidrāt ajasraṁ srāvaḥ [heavy discharge through opening], chidrāt acchaṁ srāvaḥ [clear discharge through opening], chidrāt phēnānuviddhasrāvaḥ [frothy discharge through opening], chidrāt adhikaṁ srāvaḥ [excessive discharge through opening], vraṇaḥ tāḍyatē [whipping pain], vraṇaḥ bhidyatē [tearing pain], vraṇaḥ chidyatē [biting pain], vraṇaḥ sūcībhiriva nistudyatē [pricking pain], gudaṁ avadīryatē [splitting sensation in anus], upēkṣitē chidraiḥ vātamutrapurīṣarētasāṁ āgamaḥ [if neglected flatulence, urine, faeces and semen starts oozing out of those openings], aṇumukhachidram [minute opening] ",
1036,ED-16.3,USHTRAGRIVA-BAGANDARAH/PITTAJA-BAGANDARAH,uṣṭragrīva-bhagandaraḥ/pittaja-bhagandaraḥ,उष्ट्रग्रीव-भगन्दरः/पित्तज-भगन्दरः,bhagandara due to pitta ,"the disorder is characterized by raktavarṇapiḍakā [red colored nodule], tanvī piḍakā [smal nodule], ucchritapiḍakā [elevated noduel], cōṣaḥ [sucking type of pain], vraṇaḥ agni iva dahyatē [excessive burning in wound (like that of fire)], vraṇaḥ kṣāra iva dahyatē [burning sensation as chemical cautery], durgandham [foul smell], uṣṇaṁ āsrāvaḥ/ahimavāhinī [dischrge which is not cold], upēkṣitē chidraiḥ vātamutrapurīṣarētasāṁ āgamaḥ [if neglected flatulence, urine, faeces and semen starts oozing out of those openings], rakta-piḍakā (gudāśritām) [red eruptions in the anal region], āśupākaḥ [undergoes quick suppuration], pūtivāhinī [warm and foul smell discharge] ",
1037,ED-16.4,PARISRAVI-BAGANDARAH/SLESHMAJA-BAGANDARAH,parisrāvī-bhagandaraḥ/ślēṣmaja-bhagandaraḥ,परिस्रावी-भगन्दरः/श्लेष्मज-भगन्दरः,bhagandara due to kapha ,"the disorder is characterized by śuklāvabhāsī piḍakā/ śvētāvabhāsaḥ [white coloured], sthirapiḍakā [immovable nodule (with large/fix base)], kaṇḍūmatī piḍakā [nodule with itching], kaṇḍūḥ [itching sensation], apratikriyamāṇā ca pākamupaiti [if it remains untreated suppuration results], kaṭhinavraṇaḥ [indurated], saṁrambhī [redness/congesion/inflammation], kaṇḍūprāyaḥ [associated with itching sensation], picchilasrāvaḥ/bahupicchā [slimy discharge], ajasraṁ srāvaḥ [continuos discharge], upēkṣitē chidraiḥ vātamutrapurīṣarētasāṁ āgamaḥ [if neglected flatulence, urine, faeces and semen starts oozing out of those openings], ghanasrāvaḥ [thick/dense discharge], mandavēdanā [mild pain] ",
1038,ED-16.5,PARIKSHEPI-BAGANDARAH/VATAPAITTIKA-BAGANDARAH,parikṣēpi-bhagandaraḥ/vātapaittika-bhagandaraḥ,परिक्षेपि-भगन्दरः/वातपैत्तिक-भगन्दरः,bhagandara due to vāta and pitta ,"the disorder is characterized by parikṣipya gudaṁ gatiḥ [circular fistula around the anus], prākāraḥ parikhēva jāyatē [like that of pit around the fort] ",
1039,ED-16.6,RUJU-BAGANDARAH/VATAKAPAJA-BAGANDARAH,r̥ju-bhagandaraḥ/vātakaphaja-bhagandaraḥ,ऋजु-भगन्दरः/वातकफज-भगन्दरः,bhagandara due to vāta and kapha ,the disorder is characterized by r̥ju [forms a straight fistula] ,
1040,ED-16.7,ARSO-BAGANDARAH KAPAPITTA-BAGANDARAH,arśō-bhagandaraḥ kaphapitta-bhagandaraḥ,अर्शो-भगन्दरः कफपित्त-भगन्दरः,bhagandara due to kapha and pitta ,"the disorder is characterized by śōphaḥ [oedema], kaṇḍūḥ [itching at anus], dāhaḥ [burning sensation], śīghrapākaḥ [suppurates quickly], pakvabhinnē arśasaḥ mūlaṁ klēdayati [on bursting of pile mass after suppuration, there is soddening at the base], ajasraṁ srāvaḥ [continous discharge] ",
1041,ED-16.8,SAMBUKAVARTA-BAGANDARAH/SANNIPATAJA-BAGANDARAH,śambūkāvarta-bhagandaraḥ/sānnipātaja-bhagandaraḥ,शम्बूकावर्त-भगन्दरः/सान्निपातज-भगन्दरः,bhagandara due to three dōṣa ,"the disorder is characterized by pādāṁguṣṭhapramāṇapiḍakā [nodule of a size of hallux], tōdaḥ [pricking pain], dāhaḥ [burning sensation], kaṇḍūḥ [itching], apratikriyamāṇā ca pākamupaiti [if it remains untreated suppuration results], nānāvidhavarṇāsrāvaḥ/bahuvarṇarujāsrāvaḥ [discharge with various /invariable colours], pūrṇanadīśambūkāvartavat/śmbūkāvartasannibhaḥ/śambūkāvartavat [like the ridges of a snail], gatayō dārayanti [tracts damaging soft tissues], gōstanōpama-piḍakā [boil looking like the teat of cow], bahurujā [different types of pain], bahuvarṇaḥ [different types of colour], bahusrāvaḥ [excessive/copious discharge] ",
1042,ED-16.9,UNMARGAGAMI-BAGANDARAH/SALYAJANYA-BAGANDARAH/KSHATAJA-BAGANDARAH,unmārgagāmī-bhagandaraḥ/śalyajanya-bhagandaraḥ/kṣataja-bhagandaraḥ,उन्मार्गगामी-भगन्दरः/शल्यजन्य-भगन्दरः/क्षतज-भगन्दरः,bhagandara due to trauma ,"the disorder is characterized by pūyarudhirāvakīrṇamāṁsakōthaḥ [purtrifaction of muscle associated with pus and blood], jalapraklinnāyāṁ bhūmāviva kr̥mayaḥ saṁjāyantē [like, worms are generated in moist soil], kr̥mibhiḥ pārśvatō gudadāraṇam/ kr̥mayaḥ paritō gudaṁ khādantī [microorganisms damaging soft tissue of anal region], kr̥mikr̥tairmārgaiḥ vātamūtrapurīṣarētāṁsi abhinissaranti [gases,urine,stool,semen are passed through the tracts created by micro organisms.] ",
1043,ED-16.10,ASADHYA-BAGANDARAH,asādhya-bhagandaraḥ,असाध्य-भगन्दरः,incurable bhagandara , ,
1044,ED-16.11,BAGANDARA-ARISHTALAKSHANAM,bhagandara-ariṣṭalakṣaṇam,भगन्दर-अरिष्टलक्षणम्,fatal signs of bhagandara ,"the disorder is characterized by vātamūtrapurīṣakr̥mayaḥ bhagandarāt sravati [discharge of flatus, urine, feces and worms from fistula] ",
1045,ED-17,DAVATHUH,davathuḥ,दवथुः,burning sensation of sense organs , ,
1046,ED-18,SONITAKLEDAH,śōṇitaklēdaḥ,शोणितक्लेदः,hypoviscous blood , ,
1047,ED-19,SNAYUKAROGAH,snāyukarōgaḥ,स्नायुकरोगः,dracunculiasis ,"the disorder is characterized by śōthaṁ kr̥tvā visarpavat [edema like that of visarpa erysipelas], tantunibhaṁ sūtraṁ [a thread like elongated structure comes out of the ulcer], śanaiḥ śanaiḥ kṣatāt yāti [frequent expulsion of kr̥mi], chēdāt kōpamāvahēt [if it is cut due to ignorance, ulcer will agravate], pātāt śōthaśāntiḥ [after it will subside], punaḥ sthānāntarē bhavēt [ulcer generates at some other place] ",
1054,ED-20,DAHAH,dāhaḥ,दाहः,burning sensation ,the disorder is characterized by sarvāṅgīṇastīvraḥ santāpō dāhaḥ [severe burning sensation in all over body] ,
1055,ED-20.1,RAKTAJADAHAH,raktajadāhaḥ,रक्तजदाहः,dāha due to rakta ,"the disorder is characterized by uṣyatē [warmth], tāmralōcanaḥ [coppery lusture with copper red eyes], tāmrābhaḥ [coppery lusture skin], tr̥ṣyatē [thirst], lōhāngagandha angē [emits iron like odour from the body], lōhagandha-vadanaḥ [emits iron like odour from the mouth] ",
1056,ED-20.2,PITTAJA-DAHAH,pittaja-dāhaḥ,पित्तज-दाहः,dāha due to pitta ,the disorder is characterized by pitta jvara lakṣaṇapitta jvara lakṣaṇaḥ [symptoms similar to that of dāha] ,
1057,ED-20.3,TRUSHNA-NIRODHAJADAHAH,tr̥ṣṇā-nirōdhajadāhaḥ,तृष्णा-निरोधजदाहः,dāha due to unquenched thirst ,"the disorder is characterized by bāhyābhyantara-dēha-dāhaḥ [internal and external burning sensation], saṁśuṣka-galaḥ [dryness of throat], saṁśuṣka-tāluḥ [dryness of palate], saṁśuṣkōṣṭham [dryness of the lips], jihvāṁ niṣkr̥ṣya vēpanam [trumbling of tongue on protrusion], mandacētasaḥ [dulling of all senses] ",
1058,ED-20.4,ASRUKPURNAKOSHTHAJADAHAH/RAKTAPURNAKOSHTHAJADAHAH,asr̥kpūrṇakōṣṭhajadāhaḥ/raktapūrṇakōṣṭhajadāhaḥ,असृक्पूर्णकोष्ठजदाहः/रक्तपूर्णकोष्ठजदाहः,dāha due to internal bleeding , ,
1059,ED-20.5,DHATUKSHAYAJADAHAH,dhātukṣayajadāhaḥ,धातुक्षयजदाहः,dāha due to consumption ,"the disorder is characterized by kriyāhīnaḥ [diminution of activities], kṣāmasvaraḥ [weak and feeble voice], tr̥ṣṇā [thirst], bhr̥śapīḍitaḥ [excessively distressed], mūrcchāḥ [syncope/attacks of swooning], sīdēt [malaise] ",
1060,ED-20.6,KSHATAJADAHAH,kṣatajadāhaḥ,क्षतजदाहः,dāha due to trauma ,"the disorder is characterized by mūrcchā [syncope/attacks of swooning], pralāpa [excess talking/irrelevant speech/incoherent speech], tr̥ṣṇā [thirst], atyartha atyartha antardāhḥ [severe internal symptoms of burning] ",
1061,ED-20.7,MARMABIGHATAJADAHAH,marmābhighātajadāhaḥ,मर्माभिघातजदाहः,burning sensation due to marmaviddha , ,
1062,EE,MAMSAVAHASROTOVIKARAH,māṁsavahasrōtōvikāraḥ,मांसवहस्रोतोविकारः,disorders of maMsavahasrOtas , ,
1063,EE-1,MAMSAVAHASROTODUSHTIH,māṁsavahasrōtōduṣṭiḥ,मांसवहस्रोतोदुष्टिः,derangement of maMsavahasrOtas ,"the disorder is characterized by śvayathu [swelling], sirāgranthi [varicose veins], maraṇaṁ [death], māṁsaśōṣaḥ [emaciation of muscles] ",
1064,EE-2,ARBUDAH,arbudaḥ,अर्बुदः,tumor ,"the disorder is characterized by atyagādha-māṁsōcchrayaḥ [deep rooted, elevation of māṁsa], ciravr̥ddhyapākaḥ(māṁsapiṇḍaḥ) [slowly growing and non-suppurating swelling], mandarujaḥ(māṁsapiṇḍaḥ) [slightly painful swelling], mahāntamanalpamūlam (māṁsapiṇḍaḥ) [broad and deep rooted swelling], vr̥ttaḥ (māṁsapiṇḍaḥ) [round swelling], sthiraḥ(māṁsapiṇḍaḥ) [fixed swelling] ",
